case_id,t_model,t_cap,Longitude,Latitude
3043521,GE1.6-100,1600,-102.764793,40.720192
3057085,GE2.0-116,2100,-102.76429,46.605724
3053586,GE1.715-103,1715,-102.764244,46.640182
3050255,V100-2.0,2000,-102.763588,35.272736
3053587,GE1.715-103,1715,-102.763092,46.632755
3050271,V100-2.0,2000,-102.763031,35.293396
3051550,GE2.4-107,2400,-102.762405,34.730019
3045531,GE1.6-100,1600,-102.762192,40.756592
3043519,GE1.6-100,1600,-102.762192,40.730892
3052281,GE2.4-107,2400,-102.761787,34.687222
3110313,GE2.72-116,2720,-102.761223,48.801754
3050254,V100-2.0,2000,-102.761032,35.271343
3045506,GE1.6-100,1600,-102.760689,40.750694
3050270,V100-2.0,2000,-102.760124,35.291534
3045593,GE1.6-100,1600,-102.759789,40.743492
3110150,GE2.72-116,2720,-102.75901,48.80518
3043522,GE1.6-100,1600,-102.758392,40.720291
3045682,GE1.6-100,1600,-102.758392,40.737595
3050253,V100-2.0,2000,-102.758339,35.269875
3050269,V100-2.0,2000,-102.757851,35.290146
3053583,GE1.715-103,1715,-102.756882,46.653385
3053584,GE1.715-103,1715,-102.756142,46.647263
3050252,V100-2.0,2000,-102.755524,35.268345
3050268,V100-2.0,2000,-102.75531,35.288586
3043520,GE1.6-100,1600,-102.754593,40.728294
3050285,V100-2.0,2000,-102.753914,35.306164
3050266,V100-2.0,2000,-102.752983,35.287144
3045594,GE1.6-100,1600,-102.752289,40.745693
3050284,V100-2.0,2000,-102.750801,35.304886
3045681,GE1.6-100,1600,-102.750793,40.737892
3043523,GE1.6-100,1600,-102.750687,40.720291
3050265,V100-2.0,2000,-102.750641,35.285706
3052271,GE2.4-107,2400,-102.748596,34.692822
3050264,V100-2.0,2000,-102.748291,35.284256
3050283,V100-2.0,2000,-102.747269,35.304394
3045651,GE1.6-100,1600,-102.74649,40.740093
3057133,GE2.0-116,2100,-102.746384,46.620476
3045595,GE1.6-100,1600,-102.746094,40.746792
3050263,V100-2.0,2000,-102.745949,35.282825
3043524,GE1.6-100,1600,-102.74559,40.721394
3050282,V100-2.0,2000,-102.744537,35.302933
3052272,GE2.4-107,2400,-102.744118,34.692013
3057132,GE2.0-116,2100,-102.743317,46.627117
3045649,GE1.6-100,1600,-102.743294,40.757294
3053601,GE1.715-103,1715,-102.742233,46.647293
3050262,V100-2.0,2000,-102.741974,35.281574
3050281,V100-2.0,2000,-102.741592,35.301346
3045648,GE1.6-100,1600,-102.741386,40.761494
3045650,GE1.6-100,1600,-102.740387,40.741295
