Permit_Address,Street_Name,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Latitude,Longitude
1560 POWELL ST,POWELL ST,94133,Rubber Legs Inc. dba Northstar Cafe,Shared Spaces,6/18/2024,3/15/2025,37.7992000320729,-122.410468499565
1318 18TH ST,18TH ST,94107,Blooms Bar,Shared Spaces,6/18/2024,3/15/2025,37.7627457534106,-122.396010635046
298 GOUGH ST,GOUGH ST,94102,Dumpling Home,Shared Spaces,6/17/2024,3/15/2025,37.7757027192214,-122.4225434925
1337 GRANT AVE,GRANT AVE,94133,Tupelo,Shared Spaces,6/17/2024,3/15/2025,37.7992696824157,-122.407440763187
603 BUSH ST,BUSH ST,94108,Bouche,Shared Spaces,6/17/2024,3/15/2025,37.7902129312343,-122.407324952628
2359 CHESTNUT ST,CHESTNUT ST,94123,L'MIDA,Shared Spaces,6/17/2024,3/15/2025,37.7999383784037,-122.44216540974
5700 GEARY BLVD,21ST AVE,94121,Dragon Beaux,Shared Spaces,6/13/2024,3/15/2025,37.7804624690089,-122.480703841334
560 DIVISADERO ST,DIVISADERO ST,94117,Nopa,Shared Spaces,6/12/2024,3/15/2025,37.7748140115132,-122.437579616206
716 COLUMBUS AVE,COLUMBUS AVE,94133,The Italian Homemade,Shared Spaces,6/12/2024,3/15/2025,37.8016399433579,-122.411825856367
353 COLUMBUS AVE,COLUMBUS AVE,94133,Mona Lisa Restaurant,Shared Spaces,6/11/2024,3/15/2025,37.798412793998,-122.407731453791
3901 NORIEGA ST,NORIEGA ST,94122,The Pizza Place on Noriega,Shared Spaces,6/10/2024,3/15/2025,37.7527958042148,-122.505610254524
3200 24TH ST,24TH ST,94110,The Napper Tandy,Shared Spaces,6/10/2024,3/15/2025,37.7524790777077,-122.416523745387
620 TREAT AVE,TREAT AVE,94110,"Southern Pacific Brewing, LLC",Shared Spaces,6/1/2024,3/15/2025,37.7603199064911,-122.413784125879
799 VALENCIA ST,VALENCIA ST,94110,YASMIN,Shared Spaces,5/8/2024,3/15/2025,37.7601534330846,-122.421360824063
314 SUTTER ST,SUTTER ST,94108,E&O Kitchen and Bar,Shared Spaces,5/7/2024,3/15/2025,37.7897142094808,-122.405835857229
516 GREEN ST,GREEN ST,94133,BOCCONCINO,Shared Spaces,5/6/2024,3/15/2025,37.7997908457143,-122.407818804813
631 GRANT AVE,GRANT AVE,94108,FAR EAST CAFÉ,Shared Spaces,5/6/2024,3/15/2025,37.793010405755,-122.406186648965
2240 MARKET ST,MARKET ST,94114,The Epicurean Trader,Shared Spaces,5/3/2024,3/15/2025,37.7652909162276,-122.432055715735
4555 CALIFORNIA ST,CALIFORNIA ST,94118,BEANSTALK CAFE,Shared Spaces,5/3/2024,3/15/2025,37.7845770894155,-122.466506662025
501 COLUMBUS AVE,COLUMBUS AVE,94133,ANGOLO INC,Shared Spaces,5/29/2024,3/15/2025,37.7997189776229,-122.409611297532
819 VALENCIA ST,VALENCIA ST,94110,Golla,Shared Spaces,5/29/2024,3/15/2025,37.7597583499522,-122.421211106005
