Incident Date,Incident Year,Incident Category,Latitude,Longitude,Types of crime
2023/03/11,2023,Assault,37.772895177200766,-122.45428511766733,
2023/03/16,2023,Assault,37.76228996810526,-122.40132418490647,
2023/02/02,2023,Disorderly Conduct,37.74982977810765,-122.4317169330973,
2023/02/18,2023,Assault,37.78775665157557,-122.42011607573366,
2023/02/02,2023,Lost Property,37.781853290494546,-122.45214312550972,
2023/02/05,2023,Robbery,37.789110174829865,-122.41701687926658,
2023/02/03,2023,Robbery,37.71494004719552,-122.43780526460748,
2023/08/27,2023,Other,37.8028475139412,-122.43497257681223,
2023/08/26,2023,Larceny Theft,37.7789457958522,-122.4673540114583,
2023/08/26,2023,Larceny Theft,37.75220444116967,-122.4190175437401,
2023/08/27,2023,Other Miscellaneous,37.77172394571696,-122.41689981979252,
2023/08/27,2023,Malicious Mischief,37.7096948673027,-122.4159559169302,
2023/08/23,2023,Other,37.79602474908684,-122.40665235335732,
2023/08/10,2023,Burglary,37.7482294743023,-122.43155665172966,
2023/08/27,2023,Other Miscellaneous,37.734013871373556,-122.39096789139202,
2023/07/10,2023,Larceny Theft,37.79259308227565,-122.41940178531726,
2023/08/26,2023,Larceny Theft,37.80005154768055,-122.43440469982856,
2023/08/24,2023,Lost Property,37.730016975893896,-122.36903707859156,
2023/08/26,2023,Motor Vehicle Theft,37.76036964531928,-122.41192658753008,
2023/08/26,2023,Assault,37.76929182433688,-122.49616067593702,
2023/08/27,2023,Robbery,37.78223057378371,-122.41029202788059,
2023/08/27,2023,Malicious Mischief,37.8054171710477,-122.41524148656329,
2023/08/26,2023,Burglary,37.75759158940101,-122.3941071115673,
2023/08/26,2023,Burglary,37.780576217006235,-122.42025546027398,
2023/08/05,2023,Larceny Theft,37.792537216359484,-122.39405962490252,
2023/08/27,2023,Burglary,37.77113778727857,-122.40080427775587,
2023/08/27,2023,Offences Against The Family And Children,37.723947553044106,-122.44067171839316,
2023/08/20,2023,Fraud,37.750096974601504,-122.42727745035793,
2023/08/27,2023,Robbery,37.785641708798344,-122.41799627043912,
2023/08/27,2023,Disorderly Conduct,37.734013871373556,-122.39096789139202,
2023/08/27,2023,Sex Offense,37.799693671684,-122.4225252159745,
2023/08/26,2023,Prostitution,37.75716664165998,-122.41671959504018,
2023/08/27,2023,Larceny Theft,37.80727586975037,-122.41561643757444,
2023/08/27,2023,Larceny Theft,37.73832136115452,-122.40564673809936,
2023/08/26,2023,Forgery And Counterfeiting,37.782169269140326,-122.4189932746152,
2023/08/27,2023,Larceny Theft,37.771396030943585,-122.50989475109745,
2023/08/26,2023,Missing Person,37.720038190695504,-122.45409616263056,
2023/08/27,2023,Burglary,37.781041794461835,-122.49662818899574,
2023/08/26,2023,Weapons Offense,37.713246640206265,-122.41436981355349,
2023/08/27,2023,Malicious Mischief,37.78556384617361,-122.42978259351794,
2023/08/21,2023,Fraud,37.763848790283404,-122.4705950866979,
2023/08/27,2023,Warrant,37.78207306684549,-122.41222073683006,Misdemeanors
2023/08/26,2023,Missing Person,37.73839876477536,-122.42285286392635,
2023/08/26,2023,Assault,37.71792410140692,-122.46443986141327,
2023/08/27,2023,Malicious Mischief,37.776368868699294,-122.41950629492429,
2023/08/24,2023,Motor Vehicle Theft,37.75872232739185,-122.44602058135597,
2023/08/21,2023,Assault,37.780470340397024,-122.41694760620521,
2023/08/25,2023,Lost Property,37.74906582026698,-122.3864279302503,
2023/03/01,2023,Larceny Theft,37.7584028114544,-122.40195658117408,
2023/08/27,2023,Assault,37.801125131492675,-122.41137627177315,
2023/08/27,2023,Burglary,37.7717172446168,-122.39850261575857,
2023/08/26,2023,Larceny Theft,37.728210563281955,-122.4786979705697,
2023/08/24,2023,Burglary,37.760101292412216,-122.42142521378148,
2023/08/27,2023,Assault,37.784908299430455,-122.40479506275997,
2023/08/26,2023,Warrant,37.78631021732119,-122.41644912401847,Misdemeanors
2023/08/21,2023,Malicious Mischief,37.721827793591586,-122.46226548833442,
2023/08/27,2023,Suspicious Occ,37.792140771775436,-122.40836389953502,
2023/08/27,2023,Larceny Theft,37.8054171710477,-122.41524148656329,
2023/08/22,2023,Fraud,37.78976259679856,-122.3975744697393,
2023/08/27,2023,Malicious Mischief,37.76288986498137,-122.42850875070255,
2023/08/27,2023,Larceny Theft,37.71930935913096,-122.43886348695386,
2023/08/26,2023,Malicious Mischief,37.72171587946975,-122.39594382884452,
2023/08/27,2023,Burglary,37.79356508316817,-122.40461342242597,
2023/08/27,2023,Missing Person,37.8028475139412,-122.43497257681223,
2023/08/27,2023,Motor Vehicle Theft,37.72983387261322,-122.45407204989881,
2023/08/25,2023,Larceny Theft,37.78616615811754,-122.42137337495188,
2023/08/26,2023,Miscellaneous Investigation,37.72915975311489,-122.39241507518486,
2023/08/27,2023,Warrant,37.78829319282882,-122.40840155198468,Misdemeanors
2023/08/26,2023,Larceny Theft,37.753136315292714,-122.44463973626287,
2023/08/27,2023,Larceny Theft,37.74110763100082,-122.38847589500467,
2023/08/26,2023,Warrant,37.792140771775436,-122.40836389953502,Misdemeanors
2023/08/26,2023,Motor Vehicle Theft,37.73077258556439,-122.42250004196389,
2023/08/26,2023,Larceny Theft,37.78582921318811,-122.40148983641853,
2023/08/27,2023,Larceny Theft,37.80569594262971,-122.40535724201465,
