name,Latitude,Longitude,STATE_NAME,Year,sourceCountry
 1967-1970,46.951,-122.2985,Washington,1967,US
2004,47.4352,-121.7812,Washington,2004,US
Dec-04,46.988,-123.8647,Washington,2004,US
Oct-04,48.1368,-123.7349,Washington,2004,US
1987,48.9294,-122.0247,Washington,1987,US
Aug-93,46.0189,-121.7476,Washington,1993,US
Sep-04,46.3751,-122.1301,Washington,2004,US
Jul-03,48.78336,-122.2196,Washington,2003,US
Oct-04,47.5532,-124.3324,Washington,2004,US
Apr-05,46.8434,-123.2383,Washington,2005,US
Apr-02,48.79056,-117.2833,Washington,2005,US
Apr-05,47.2637,-120.2238,Washington,2005,US
Aug-04,47.775,-120.715,Washington,2004,US
Aug-01,46.74778,-121.3603,Washington,2005,US
Mar-71,47.0849,-122.5926,Washington,1971,US
Jun-05,47.86028,-123.9364,Washington,2005,US
May-02,47.275,-122.195,Washington,2002,US
Aug-05,47.71167,-121.1544,Washington,2005,US
Apr-05,46.75861,-122.0297,Washington,2005,US
Jun-81,46.09035,-121.9313,Washington,1981,US
Aug-01,47.86697,-123.8796,Washington,2006,US
Oct-05,46.93755,-123.8358,Washington,2005,US
Jul-93,47.79222,-121.1958,Washington,2005,US
Jul-05,48.66175,-121.3685,Washington,2005,US
Nov-05,47.74435,-120.7426,Washington,2005,US
Aug-05,46.13795,-122.3291,Washington,2005,US
Oct-05,48.45809,-120.1611,Washington,2005,US
Jul-05,48.86479,-117.3672,Washington,2005,US
Sep-05,47.7504,-122.535,Washington,2006,US
1966,47.969,-123.582,Washington,1966,US
Sep-06,46.14853,-121.5775,Washington,2006,US
Sep-06,47.3978,-123.2008,Washington,2006,US
Oct-06,48.71545,-119.0802,Washington,2006,US
Oct-06,48.22336,-121.5777,Washington,2006,US
Oct-06,48.3912,-119.7595,Washington,2006,US
Oct-06,47.396,-123.1976,Washington,2006,US
Oct-06,48.94655,-119.5423,Washington,2006,US
Oct-06,48.45809,-120.1611,Washington,2006,US
Apr-99,47.1144,-121.4844,Washington,1999,US
Aug-00,48.1864,-122.2612,Washington,2000,US
Jan-07,46.50511,-122.9316,Washington,2007,US
Aug-06,48.32956,-119.187,Washington,2006,US
Oct-05,47.6597,-122.105,Washington,2005,US
Jul-82,46.74551,-121.8221,Washington,1982,US
Jul-87,46.94445,-122.6893,Washington,1987,US
Jul-07,46.74621,-122.0467,Washington,2007,US
Aug-07,46.11887,-122.1931,Washington,2007,US
Sep-07,46.40153,-121.8738,Washington,2007,US
Jul-02,47.09685,-121.45,Washington,2002,US
7-Oct,47.86405,-121.6738,Washington,2007,US
Nov-07,47.74225,-122.5377,Washington,2008,US
Jan-08,48.105,-121.905,Washington,2008,US
Jul-05,47.55477,-121.5354,Washington,2005,US
Mar-83,48.03632,-122.9539,Washington,2008,US
Mar-05,48.11509,-121.9677,Washington,2005,US
Dec-92,46.35099,-123.6886,Washington,1992,US
Apr-06,45.99935,-121.4821,Washington,2006,US
Mar-08,47.32307,-120,Washington,2008,US
June 04-05,46.63153,-123.2349,Washington,2004,US
Jul-08,47.2331,-123.9878,Washington,2008,US
Aug-83,47.1787,-122.2484,Washington,1983,US
Aug-08,46.39019,-122.0303,Washington,2008,US
Aug-08,47.00008,-121.9563,Washington,2008,US
